source,run,config_id,data,feature_set,seed,split_seed,split_strategy,train_max_samples,n_train_full,n_train_used,n_val,n_test,epochs,name,hidden_dims,batch_size,lr,dropout,weight_decay,embed_dim_cap,n_params,best_val_epoch,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_mdape,val_mdape,test_mdape,train_acc_pct,val_acc_pct,test_acc_pct,train_mse_last,val_mse_last,test_mse_last,train_rmse_last,val_rmse_last,test_rmse_last,train_mdape_last,val_mdape_last,test_mdape_last,train_acc_pct_last,val_acc_pct_last,test_acc_pct_last,seconds
sweep_deep_test,192,3b444c8acd,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big5,"1024,512,256,128,64",1024,0.002,0.2,0.0001,32,915457,7,0.19362211639404298,0.21832055965464797,0.22854397463577888,0.44002513154823664,0.46724785676838365,0.47806273085838735,0.25878146290779114,0.26146984100341797,0.2610436677932739,74.12185370922089,73.8530158996582,73.89563322067261,0.3060167465209961,0.32985036040773535,0.337458908960617,0.553187804024091,0.5743260053382011,0.5809121353187735,0.33256861567497253,0.33467957377433777,0.3327013850212097,66.74313843250275,66.53204262256622,66.72986149787903,24.61
sweep_deep_test,193,31c788ffde,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,huge4,"2048,1024,512,256",4096,0.004,0.0,0.0005,128,3192025,10,0.1871093865966797,0.22197855962469965,0.23115086023299003,0.4325614252296195,0.471146006695058,0.48078150987011764,0.2435525357723236,0.24625934660434723,0.2455485761165619,75.64474642276764,75.37406533956528,75.44514238834381,0.1871093865966797,0.22197855962469965,0.23115086023299003,0.4325614252296195,0.471146006695058,0.48078150987011764,0.2435525357723236,0.24625934660434723,0.2455485761165619,75.64474642276764,75.37406533956528,75.44514238834381,36.0
sweep_deep_test,194,eac1176f7b,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big4,"1024,512,256,128",1024,0.003,0.0,0.0001,64,1021145,9,0.12467182464599609,0.1513028625400494,0.15416178053099783,0.3530889755373227,0.3889766863708536,0.3926344107831073,0.20728518068790436,0.21421535313129425,0.2139054834842682,79.27148193120956,78.57846468687057,78.60945165157318,0.13659605514526368,0.1625880920521081,0.16556263716407732,0.36958903547760136,0.4032221373537273,0.40689388931769094,0.21330179274082184,0.221378356218338,0.2214312106370926,78.66982072591782,77.8621643781662,77.85687893629074,20.26
sweep_deep_test,195,beecd329cc,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big5,"1024,512,256,128,64",1024,0.003,0.05,0.0005,64,1029337,9,0.15187673492431641,0.1777816309877483,0.18329318698692088,0.38971365760557636,0.42164159067595347,0.42812753588962355,0.246098130941391,0.2492889165878296,0.25029730796813965,75.3901869058609,75.07110834121704,74.97026920318604,0.15243418090820313,0.17789829201707819,0.18102632127673163,0.39042820198879474,0.4217799094516928,0.4254718807121472,0.23007838428020477,0.23683083057403564,0.23640549182891846,76.99216157197952,76.31691694259644,76.35945081710815,25.57
sweep_deep_test,196,4d5fa371eb,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,huge3,"2048,1024,512",4096,0.001,0.05,0.0005,64,3060953,10,0.1944688284301758,0.23643483529609086,0.2544853476699691,0.44098619981828885,0.48624565324133323,0.5044654078031209,0.23667021095752716,0.23954205214977264,0.23839780688285828,76.33297890424728,76.04579478502274,76.16021931171417,0.1944688284301758,0.23643483529609086,0.2544853476699691,0.44098619981828885,0.48624565324133323,0.5044654078031209,0.23667021095752716,0.23954205214977264,0.23839780688285828,76.33297890424728,76.04579478502274,76.16021931171417,39.89
sweep_deep_test,197,4bbcc52a75,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,wide3,"1024,1024,512",8192,0.001,0.0,0.0,32,1793025,10,0.4665142138671875,0.5534577976788193,0.9715017416761902,0.6830184579256899,0.7439474428202703,0.9856478791516726,0.3110668361186981,0.3131718039512634,0.31269514560699463,68.89331638813019,68.68281960487366,68.73048543930054,0.4665142138671875,0.5534577976788193,0.9715017416761902,0.6830184579256899,0.7439474428202703,0.9856478791516726,0.3110668361186981,0.3131718039512634,0.31269514560699463,68.89331638813019,68.68281960487366,68.73048543930054,22.63
sweep_deep_test,198,8ff9cc0b65,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,deep6,"1024,512,512,256,128,64",2048,0.001,0.05,0.001,32,1178113,9,0.2537785513305664,0.305259937412741,0.346758195492373,0.5037643807679999,0.5525033370150274,0.588861779615873,0.2635083794593811,0.26707959175109863,0.2658997178077698,73.64916205406189,73.29204082489014,73.41002821922302,0.26654489807128906,0.3155531743148329,0.3505971887515984,0.5162798640962952,0.5617411986981486,0.5921124798140961,0.27989330887794495,0.2846810817718506,0.28330186009407043,72.0106691122055,71.53189182281494,71.66981399059296,29.81
sweep_deep_test,199,fb96ecebd4,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,big5,"1024,512,256,128,64",1024,0.002,0.05,1e-05,128,1029337,10,0.15579184509277344,0.18513573970632416,0.196335120769445,0.3947047568661587,0.43027402862167285,0.44309719110985685,0.22739288210868835,0.23268136382102966,0.2305327206850052,77.26071178913116,76.73186361789703,76.94672793149948,0.15579184509277344,0.18513573970632416,0.196335120769445,0.3947047568661587,0.43027402862167285,0.44309719110985685,0.22739288210868835,0.23268136382102966,0.2305327206850052,77.26071178913116,76.73186361789703,76.94672793149948,26.07
sweep_deep_test,200,e9f905a618,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,huge3,"2048,1024,512",2048,0.002,0.1,0.001,32,2920449,10,0.1536648516845703,0.18726841088546253,0.1973415756268118,0.39200108633085484,0.43274520319174253,0.4442314437619334,0.22796006500720978,0.2307981550693512,0.2304133176803589,77.20399349927902,76.92018449306488,76.95866823196411,0.1536648516845703,0.18726841088546253,0.1973415756268118,0.39200108633085484,0.43274520319174253,0.4442314437619334,0.22796006500720978,0.2307981550693512,0.2304133176803589,77.20399349927902,76.92018449306488,76.95866823196411,38.74
sweep_deep_test,201,c23e5f55e0,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,wide3,"1024,1024,512",1024,0.0015,0.1,1e-05,32,1793025,9,0.12832298278808593,0.15592871375893583,0.16212921738026467,0.3582219741837258,0.394878099872525,0.4026527255343799,0.21046291291713715,0.21901890635490417,0.21624547243118286,78.95370870828629,78.09810936450958,78.37545275688171,0.137515927734375,0.16239668832275408,0.1663737927914357,0.3708314006855069,0.402984724676698,0.40788943696967156,0.22269274294376373,0.22980721294879913,0.22799243032932281,77.73072570562363,77.01927870512009,77.20075696706772,35.46
sweep_deep_test,202,bd7493173f,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,huge3,"2048,1024,512",8192,0.0015,0.05,0.0005,64,3060953,10,0.24468524810791015,0.292035122866412,0.3292522551636191,0.49465669722334715,0.5404027413572325,0.5738050672167501,0.25995567440986633,0.2616053521633148,0.26151084899902344,74.00443255901337,73.83946478366852,73.84891510009766,0.24468524810791015,0.292035122866412,0.3292522551636191,0.49465669722334715,0.5404027413572325,0.5738050672167501,0.25995567440986633,0.2616053521633148,0.26151084899902344,74.00443255901337,73.83946478366852,73.84891510009766,37.63
sweep_deep_test,203,dadb6d7ec6,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,huge3,"2048,1024,512",1024,0.002,0.05,1e-05,128,3060953,10,0.12276655822753907,0.14844634080515595,0.15034736346634936,0.35038059054054216,0.3852873483585413,0.3877465196057205,0.20794934034347534,0.21517018973827362,0.21401584148406982,79.20506596565247,78.48298102617264,78.59841585159302,0.12276655822753907,0.14844634080515595,0.15034736346634936,0.35038059054054216,0.3852873483585413,0.3877465196057205,0.20794934034347534,0.21517018973827362,0.21401584148406982,79.20506596565247,78.48298102617264,78.59841585159302,43.46
sweep_deep_test,204,c23191c9ae,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,10,deep4,"512,256,128,64",4096,0.004,0.05,0.0,128,451801,10,0.17443429870605467,0.2106276966829039,0.22188365135401278,0.4176533235903369,0.45894193171130476,0.4710452752698118,0.2306985706090927,0.234434574842453,0.233462393283844,76.93014293909073,76.5565425157547,76.6537606716156,0.17443429870605467,0.2106276966829039,0.22188365135401278,0.4176533235903369,0.45894193171130476,0.4710452752698118,0.2306985706090927,0.234434574842453,0.233462393283844,76.93014293909073,76.5565425157547,76.6537606716156,16.72
