source,run,config_id,data,feature_set,seed,split_seed,split_strategy,train_max_samples,n_train_full,n_train_used,n_val,n_test,epochs,name,hidden_dims,batch_size,lr,dropout,weight_decay,embed_dim_cap,n_params,best_val_epoch,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_mdape,val_mdape,test_mdape,train_acc_pct,val_acc_pct,test_acc_pct,seconds
sweep_deep_test,468,f9a0445cfe,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,deep3,"512,256,128",8192,0.004,0.1,0.0,64,443609,3,10.7734387890625,10.733776926378932,10.894410521657933,3.2822916977414573,3.2762443325214514,3.30066819320845,0.9313904643058777,0.9300545454025269,0.9297550320625305,6.8609535694122314,6.9945454597473145,7.024496793746948,3.89
sweep_deep_test,469,aa7a6e72fc,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,small2,"128,64",8192,0.003,0.2,0.001,64,248025,3,12.4151355078125,12.437184151623946,12.675328039636526,3.5235118146264957,3.52663921483669,3.5602426939236214,0.9653432369232178,0.9651317000389099,0.9663759469985962,3.4656763076782227,3.486829996109009,3.362405300140381,2.94
sweep_deep_test,470,a777464680,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big4,"1024,512,256,128",1024,0.004,0.05,0.0001,64,1021145,3,0.16824989654541014,0.19590151198717976,0.20303984033927192,0.41018275993197245,0.4426076275745593,0.4505994233676647,0.244282528758049,0.24759994447231293,0.24784915149211884,75.5717471241951,75.24000555276871,75.21508485078812,5.94
sweep_deep_test,471,0ef7597a1e,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,deep3,"512,256,128",4096,0.001,0.05,0.0,64,443609,3,1.7959656713867187,1.831218159286883,2.476456906253484,1.3401364376013059,1.3532250955723821,1.573676239336886,0.5249100923538208,0.5213504433631897,0.5239483714103699,47.50899076461792,47.86495566368103,47.60516285896301,3.86
sweep_deep_test,472,b4a02a4fc3,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big3,"1024,512,256",2048,0.003,0.05,0.0001,64,988377,3,0.4140558264160156,0.4650953443603121,0.6056200251822249,0.6434716982245727,0.6819789911429179,0.7782159245236664,0.37132319808006287,0.3714267611503601,0.37194308638572693,62.86768019199371,62.85732388496399,62.80569136142731,5.59
sweep_deep_test,473,58ad3cf3d0,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big3,"1024,512,256",8192,0.001,0.1,0.001,64,988377,3,3.832792919921875,3.9026796982141065,5.581098414504125,1.9577520067469922,1.975520108278857,2.362434848732156,1.3583375215530396,1.370248794555664,1.3234883546829224,0.0,0.0,0.0,5.48
sweep_deep_test,474,68a7cfed8f,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,deep3,"512,256,128",1024,0.0005,0.05,0.0,64,443609,3,0.4927630615234375,0.5480749751670094,1.077849950842507,0.701970840935318,0.7403208596054885,1.0381955263063443,0.2928587794303894,0.2924318015575409,0.293573796749115,70.71412205696106,70.75681984424591,70.6426203250885,3.79
sweep_deep_test,475,e7e68adef1,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,wide2,"512,256",4096,0.002,0.2,0.001,32,310273,3,1.8006625219726562,1.8727737632785235,2.9123532325318457,1.3418876711456351,1.3684932456093906,1.7065618162058607,0.6320894956588745,0.6337295174598694,0.6341906785964966,36.79105043411255,36.62704825401306,36.58093214035034,3.62
sweep_deep_test,476,e73438ccc3,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,base2,"256,128",4096,0.003,0.1,0.001,32,192001,3,1.5886707983398438,1.6567457016398333,1.948877911286445,1.2604248483506837,1.2871463404134875,1.396022174353418,0.5935469269752502,0.5947861075401306,0.5955695509910583,40.645307302474976,40.52138924598694,40.443044900894165,3.08
sweep_deep_test,477,546903ab27,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,wide2,"512,256",2048,0.002,0.05,0.0001,32,310273,3,0.49374891357421874,0.5659894321943831,1.0570800930962725,0.7026726930614414,0.752322691532286,1.0281440040657108,0.3481487035751343,0.35027408599853516,0.3508877456188202,65.18512964248657,64.97259140014648,64.91122543811798,3.38
sweep_deep_test,478,774dc0ca65,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,deep3,"512,256,128",4096,0.004,0.1,0.0,32,343041,3,0.7548160791015625,0.8144375846457969,1.180956865204977,0.8688015188186324,0.9024619574507264,1.08671839277937,0.4512268602848053,0.4522591233253479,0.4487347900867462,54.87731397151947,54.77408766746521,55.12652099132538,3.81
sweep_deep_test,479,6ee286ab01,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big4,"1024,512,256,128",2048,0.0005,0.0,0.0,32,907265,3,1.058387498779297,1.1785290208996504,2.593954366036835,1.0287796162343503,1.0856007649682504,1.6105757871136754,0.5243324041366577,0.5257756114006042,0.5274414420127869,47.56675958633423,47.422438859939575,47.25585579872131,4.71
sweep_deep_test,480,6e9b7acc9b,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big3,"1024,512,256",8192,0.001,0.05,0.001,32,874497,3,2.642507724609375,2.8142518870764532,5.215762365508976,1.625579196658648,1.6775732136262946,2.2838043623543975,0.8299995064735413,0.8258146643638611,0.8226493000984192,17.000049352645874,17.41853356361389,17.73506999015808,5.43
sweep_deep_test,481,db1207f86f,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,deep4,"512,256,128,64",1024,0.0005,0.2,0.001,64,451801,3,0.5313770166015624,0.5893072215849047,1.1568573733000256,0.7289561143179762,0.767663481992536,1.0755730441490368,0.3039388060569763,0.3051113486289978,0.3048722445964813,69.60611939430237,69.48886513710022,69.51277554035187,3.82
sweep_deep_test,482,72db5a35cb,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,wide2,"512,256",4096,0.001,0.05,0.0,64,410841,3,2.4252289990234375,2.485281387279934,3.1901086598631396,1.5573146756591738,1.5764775251426624,1.7860875286119489,2.260634422302246,2.3119006156921387,2.250765800476074,0.0,0.0,0.0,3.66
sweep_deep_test,483,beb2d8785f,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big4,"1024,512,256,128",1024,0.001,0.0,0.001,64,1021145,3,0.26929182220458986,0.31742009087397016,0.4899117547940192,0.5189333504454978,0.5634004711339619,0.6999369648718513,0.25747618079185486,0.25961679220199585,0.25898605585098267,74.25238192081451,74.03832077980042,74.10139441490173,5.09
sweep_deep_test,484,347dfdc2f2,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big3,"1024,512,256",4096,0.001,0.05,0.0001,64,988377,3,1.836631474609375,1.9166904013887573,3.0561188080994257,1.3552237728911691,1.3844458824341086,1.7481758515948633,1.753269076347351,1.7367714643478394,1.738513469696045,0.0,0.0,0.0,5.5
sweep_deep_test,485,aeb0581635,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big4,"1024,512,256,128",4096,0.0005,0.05,0.0001,64,1021145,3,1.2921475537109375,1.3646215449837424,2.6481636454820077,1.1367266838211099,1.1681701695317093,1.627317930056081,0.47252318263053894,0.47417834401130676,0.47659391164779663,52.747681736946106,52.582165598869324,52.34060883522034,5.76
sweep_deep_test,486,9a7d6be72b,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,base2,"256,128",2048,0.0005,0.1,0.0001,64,285913,3,3.3351188671875,3.3773286740326296,3.687624098239422,1.826230781469719,1.8377509825960179,1.9203187491245879,0.839909553527832,0.8414205312728882,0.8369539976119995,16.009044647216797,15.857946872711182,16.30460023880005,2.83
