Test-focused sweep: runs=10000 / candidates=77616 (epochs=3, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[070/10000] small2 hidden=128,64                   bs=2048 lr=0.001  do=0.05 wd=0.0    test_rmse=1.7394  test_acc=24.94%  (2.33s)
[071/10000] base3  hidden=256,128,64               bs=8192 lr=0.0005 do=0.05 wd=1e-06  test_rmse=9.3276  test_acc=0.01%  (3.19s)
[072/10000] base2  hidden=256,128                  bs=8192 lr=0.0003 do=0.2  wd=0.0    test_rmse=11.2696  test_acc=0.00%  (3.39s)
[073/10000] big4   hidden=1024,512,256,128         bs=8192 lr=0.0015 do=0.15 wd=0.0    test_rmse=2.5712  test_acc=19.71%  (5.38s)
[074/10000] wide3  hidden=512,256,128              bs=4096 lr=0.0005 do=0.02 wd=1e-05  test_rmse=2.7932  test_acc=11.59%  (3.67s)
[075/10000] big4   hidden=1024,512,256,128         bs=8192 lr=0.0003 do=0.02 wd=0.0    test_rmse=5.7957  test_acc=0.00%  (5.38s)
[076/10000] big3   hidden=1024,512,256             bs=1024 lr=0.0003 do=0.02 wd=0.005  test_rmse=1.1813  test_acc=70.73%  (5.04s)
[077/10000] tiny2  hidden=64,32                    bs=1024 lr=0.004  do=0.15 wd=1e-05  test_rmse=0.7504  test_acc=68.89%  (2.03s)
[078/10000] big4   hidden=1024,512,256,128         bs=2048 lr=0.0007 do=0.3  wd=0.0    test_rmse=1.4849  test_acc=63.97%  (5.04s)
[079/10000] tiny2  hidden=64,32                    bs=1024 lr=0.0007 do=0.2  wd=0.0    test_rmse=1.9683  test_acc=29.92%  (2.09s)
[080/10000] base2  hidden=256,128                  bs=4096 lr=0.0003 do=0.0  wd=0.001  test_rmse=7.4369  test_acc=0.06%  (2.81s)
[081/10000] base2  hidden=256,128                  bs=1024 lr=0.004  do=0.05 wd=0.0005 test_rmse=0.5175  test_acc=74.73%  (2.47s)
[082/10000] wide3  hidden=512,256,128              bs=2048 lr=0.0007 do=0.1  wd=0.0005 test_rmse=1.1951  test_acc=65.78%  (3.31s)
[083/10000] big3   hidden=1024,512,256             bs=8192 lr=0.003  do=0.15 wd=0.005  test_rmse=2.3555  test_acc=0.00%  (5.38s)
[084/10000] tiny2  hidden=64,32                    bs=8192 lr=0.0015 do=0.15 wd=1e-06  test_rmse=10.6869  test_acc=0.00%  (2.74s)
[085/10000] wide3  hidden=512,256,128              bs=4096 lr=0.003  do=0.1  wd=0.005  test_rmse=1.6926  test_acc=27.49%  (3.66s)
[086/10000] big4   hidden=1024,512,256,128         bs=1024 lr=0.001  do=0.15 wd=1e-06  test_rmse=0.7976  test_acc=71.69%  (5.29s)
[087/10000] small3 hidden=128,64,32                bs=1024 lr=0.0005 do=0.15 wd=0.005  test_rmse=1.6541  test_acc=42.02%  (2.29s)
[088/10000] wide2  hidden=512,256                  bs=4096 lr=0.0025 do=0.2  wd=0.0    test_rmse=1.1384  test_acc=35.54%  (3.5s)
[089/10000] wide2  hidden=512,256                  bs=4096 lr=0.0007 do=0.15 wd=0.0    test_rmse=2.4305  test_acc=16.77%  (3.49s)
[090/10000] small3 hidden=128,64,32                bs=8192 lr=0.002  do=0.2  wd=0.0005 test_rmse=4.9126  test_acc=0.00%  (2.92s)
[091/10000] big4   hidden=1024,512,256,128         bs=1024 lr=0.004  do=0.3  wd=0.001  test_rmse=0.5249  test_acc=70.31%  (5.21s)
[092/10000] big3   hidden=1024,512,256             bs=2048 lr=0.0015 do=0.05 wd=0.001  test_rmse=0.9167  test_acc=71.22%  (5.04s)
[093/10000] big3   hidden=1024,512,256             bs=8192 lr=0.0025 do=0.05 wd=1e-05  test_rmse=1.9330  test_acc=0.00%  (5.36s)
[094/10000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.004  do=0.0  wd=0.0    test_rmse=0.5545  test_acc=73.84%  (4.53s)
[095/10000] small2 hidden=128,64                   bs=1024 lr=0.0025 do=0.02 wd=0.001  test_rmse=0.6580  test_acc=71.93%  (2.31s)
[096/10000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.002  do=0.2  wd=1e-06  test_rmse=0.6550  test_acc=69.13%  (5.52s)
[097/10000] small2 hidden=128,64                   bs=4096 lr=0.003  do=0.1  wd=0.001  test_rmse=1.6537  test_acc=29.97%  (2.78s)
[098/10000] big4   hidden=1024,512,256,128         bs=8192 lr=0.0005 do=0.2  wd=1e-06  test_rmse=3.4563  test_acc=4.24%  (5.54s)
[099/10000] big3   hidden=1024,512,256             bs=1024 lr=0.0005 do=0.2  wd=0.0    test_rmse=1.3794  test_acc=62.57%  (4.98s)
[100/10000] big4   hidden=1024,512,256,128         bs=2048 lr=0.003  do=0.3  wd=0.0001 test_rmse=0.9433  test_acc=55.96%  (5.23s)
[101/10000] wide3  hidden=512,256,128              bs=8192 lr=0.0003 do=0.3  wd=1e-06  test_rmse=8.4723  test_acc=0.02%  (3.82s)
[102/10000] tiny2  hidden=64,32                    bs=2048 lr=0.0025 do=0.05 wd=0.0    test_rmse=1.3010  test_acc=48.79%  (2.25s)
[103/10000] small2 hidden=128,64                   bs=2048 lr=0.0025 do=0.2  wd=1e-05  test_rmse=0.9856  test_acc=63.06%  (2.42s)
[104/10000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.003  do=0.02 wd=0.001  test_rmse=0.5295  test_acc=74.76%  (5.48s)
[105/10000] wide2  hidden=512,256                  bs=4096 lr=0.004  do=0.02 wd=0.0    test_rmse=1.0316  test_acc=36.79%  (3.56s)
[106/10000] base3  hidden=256,128,64               bs=4096 lr=0.002  do=0.0  wd=0.001  test_rmse=1.8686  test_acc=14.60%  (2.82s)
[107/10000] small2 hidden=128,64                   bs=8192 lr=0.0015 do=0.1  wd=0.0005 test_rmse=5.5268  test_acc=0.01%  (2.94s)
[108/10000] deep4  hidden=512,256,128,64           bs=2048 lr=0.0007 do=0.2  wd=0.0    test_rmse=1.5308  test_acc=60.64%  (3.48s)
[109/10000] base2  hidden=256,128                  bs=1024 lr=0.0003 do=0.2  wd=1e-06  test_rmse=1.5509  test_acc=39.25%  (2.53s)
[110/10000] big4   hidden=1024,512,256,128         bs=2048 lr=0.0025 do=0.15 wd=0.005  test_rmse=0.7710  test_acc=68.46%  (5.02s)
