Test-focused sweep: runs=1000 / candidates=10080 (epochs=10, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[321/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.004  do=0.1  wd=1e-06  test_rmse=0.7818  test_acc=64.39% (last=28.93%)  (37.07s)
[322/1000] wide3  hidden=1024,1024,512            bs=1024 lr=0.0015 do=0.2  wd=1e-05  test_rmse=0.4140  test_acc=77.43% (last=73.91%)  (30.94s)
[323/1000] deep6  hidden=1024,512,512,256,128,64  bs=1024 lr=0.004  do=0.05 wd=0.0    test_rmse=0.4327  test_acc=74.27% (last=37.74%)  (28.75s)
[324/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.004  do=0.2  wd=0.0005 test_rmse=0.6240  test_acc=65.54% (last=61.15%)  (22.31s)
[325/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.003  do=0.2  wd=0.0005 test_rmse=0.6460  test_acc=63.54% (last=14.31%)  (26.67s)
[326/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.003  do=0.05 wd=0.0005 test_rmse=0.4297  test_acc=77.11% (last=77.11%)  (23.57s)
[327/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.001  do=0.05 wd=0.0001 test_rmse=0.9349  test_acc=69.00% (last=69.00%)  (25.49s)
[328/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.004  do=0.05 wd=0.0001 test_rmse=0.9586  test_acc=53.35% (last=50.94%)  (37.29s)
[329/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.001  do=0.2  wd=0.0    test_rmse=0.4282  test_acc=77.02% (last=76.21%)  (46.58s)
[330/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.002  do=0.05 wd=0.0    test_rmse=0.4201  test_acc=77.66% (last=77.66%)  (38.56s)
[331/1000] deep6  hidden=1024,512,512,256,128,64  bs=8192 lr=0.004  do=0.1  wd=1e-05  test_rmse=1.5525  test_acc=26.09% (last=21.46%)  (26.33s)
[332/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.0015 do=0.2  wd=1e-05  test_rmse=0.7853  test_acc=63.21% (last=63.21%)  (31.3s)
[333/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.004  do=0.2  wd=1e-05  test_rmse=0.4417  test_acc=76.74% (last=76.74%)  (30.42s)
[334/1000] wide3  hidden=1024,1024,512            bs=2048 lr=0.001  do=0.1  wd=0.0    test_rmse=0.4485  test_acc=77.31% (last=77.31%)  (32.15s)
[335/1000] deep4  hidden=512,256,128,64           bs=8192 lr=0.004  do=0.05 wd=1e-05  test_rmse=0.5697  test_acc=73.67% (last=73.67%)  (14.66s)
