Test-focused sweep: runs=1000 / candidates=10080 (epochs=10, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[118/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.0015 do=0.0  wd=1e-06  test_rmse=0.3974  test_acc=78.60% (last=78.57%)  (20.93s)
[119/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.001  do=0.0  wd=0.001  test_rmse=0.8407  test_acc=70.68% (last=70.68%)  (29.96s)
[120/1000] wide3  hidden=1024,1024,512            bs=4096 lr=0.003  do=0.1  wd=0.001  test_rmse=0.9868  test_acc=50.26% (last=30.84%)  (27.1s)
[121/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.0015 do=0.0  wd=0.0001 test_rmse=0.5583  test_acc=75.77% (last=75.77%)  (18.07s)
[122/1000] huge4  hidden=2048,1024,512,256        bs=8192 lr=0.001  do=0.1  wd=0.0005 test_rmse=0.9347  test_acc=71.06% (last=71.06%)  (38.26s)
[123/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.001  do=0.1  wd=0.0    test_rmse=0.7010  test_acc=71.24% (last=71.24%)  (25.72s)
[124/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.004  do=0.1  wd=0.0    test_rmse=0.7636  test_acc=26.62% (last=26.62%)  (20.82s)
[125/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.0015 do=0.1  wd=0.0005 test_rmse=0.5455  test_acc=73.93% (last=69.94%)  (25.85s)
[126/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.004  do=0.2  wd=0.0001 test_rmse=0.4943  test_acc=74.71% (last=74.71%)  (15.81s)
[127/1000] big4   hidden=1024,512,256,128         bs=4096 lr=0.003  do=0.05 wd=0.0005 test_rmse=0.5675  test_acc=74.61% (last=74.61%)  (21.76s)
[128/1000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.004  do=0.1  wd=0.0001 test_rmse=0.4641  test_acc=76.15% (last=74.63%)  (22.67s)
[129/1000] big4   hidden=1024,512,256,128         bs=8192 lr=0.002  do=0.05 wd=0.001  test_rmse=0.7144  test_acc=70.42% (last=70.42%)  (20.2s)
[130/1000] huge3  hidden=2048,1024,512            bs=2048 lr=0.003  do=0.2  wd=0.0    test_rmse=0.4003  test_acc=77.28% (last=76.78%)  (35.72s)
[131/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.002  do=0.2  wd=0.001  test_rmse=0.9086  test_acc=57.10% (last=14.34%)  (25.13s)
[132/1000] big5   hidden=1024,512,256,128,64      bs=8192 lr=0.002  do=0.2  wd=0.0    test_rmse=0.8839  test_acc=65.86% (last=65.86%)  (20.78s)
[133/1000] huge4  hidden=2048,1024,512,256        bs=1024 lr=0.001  do=0.0  wd=0.0005 test_rmse=0.3995  test_acc=78.49% (last=78.49%)  (36.53s)
[134/1000] deep6  hidden=1024,512,512,256,128,64  bs=2048 lr=0.002  do=0.1  wd=0.0    test_rmse=0.5731  test_acc=72.11% (last=27.55%)  (26.69s)
[135/1000] big5   hidden=1024,512,256,128,64      bs=1024 lr=0.001  do=0.05 wd=0.001  test_rmse=0.4634  test_acc=75.89% (last=71.16%)  (23.25s)
[136/1000] big4   hidden=1024,512,256,128         bs=1024 lr=0.002  do=0.05 wd=0.001  test_rmse=0.4021  test_acc=76.88% (last=76.88%)  (22.14s)
[137/1000] deep4  hidden=512,256,128,64           bs=4096 lr=0.0015 do=0.05 wd=1e-06  test_rmse=0.7688  test_acc=73.26% (last=73.26%)  (14.82s)
[138/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.001  do=0.0  wd=1e-05  test_rmse=0.5030  test_acc=76.28% (last=76.28%)  (28.81s)
[139/1000] big5   hidden=1024,512,256,128,64      bs=4096 lr=0.001  do=0.0  wd=0.0005 test_rmse=0.7393  test_acc=74.08% (last=74.08%)  (18.15s)
[140/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.001  do=0.2  wd=0.0005 test_rmse=0.8095  test_acc=64.74% (last=64.74%)  (25.08s)
[141/1000] deep4  hidden=512,256,128,64           bs=1024 lr=0.0015 do=0.1  wd=0.0    test_rmse=0.4865  test_acc=75.73% (last=75.62%)  (17.11s)
[142/1000] deep6  hidden=1024,512,512,256,128,64  bs=4096 lr=0.003  do=0.2  wd=1e-05  test_rmse=1.7344  test_acc=24.56% (last=7.97%)  (25.77s)
[143/1000] huge3  hidden=2048,1024,512            bs=8192 lr=0.004  do=0.2  wd=0.0    test_rmse=1.2543  test_acc=38.49% (last=34.01%)  (34.21s)
[144/1000] huge3  hidden=2048,1024,512            bs=4096 lr=0.002  do=0.0  wd=0.0    test_rmse=0.5160  test_acc=75.38% (last=75.38%)  (28.64s)
